evidence_id,party_id_1,party_id_2,match_type,match_rule_id,match_key,evidence_value,confidence_score,created_at,blocking_keys
e35f13f6-0f8b-402b-b840-388e46953727,SP_SmartPlus_quote_member_QM019,SP_Smile_policy_member_PM017,PII,RULE_EXACT_HKID,HKID,O023456(7),1.0,2026-03-06T23:18:17.316209,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
fdef8d7f-e232-4f99-b61e-55b2fb6b1b1b,SP_SmartPlus_quote_member_QM019,SP_Smile_policy_member_PM017,PII,RULE_EXACT_EMAIL,EMAIL,member2@largefamily.com,0.95,2026-03-06T23:18:17.316221,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
2e7992cf-f0b8-4d0f-9c79-4af09999ebf2,SP_SmartPlus_quote_member_QM019,SP_Smile_policy_member_PM017,PII,RULE_EXACT_PHONE,PHONE,+85290000000,0.9,2026-03-06T23:18:17.316229,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
47df98c0-7e48-4358-88e0-db35f5fb767a,SP_SmartPlus_quote_member_QM019,SP_Smile_policy_member_PM017,PII,RULE_EXACT_NAME_DOB,NAME_DOB,MEMBER2|LARGEFAMILY|1975-01-01,0.95,2026-03-06T23:18:17.316236,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
097bc2df-0552-4e4c-9acd-64e07a6d7276,SP_SmartPlus_quote_member_QM019,SP_Smile_policy_member_PM017,PII,RULE_EXACT_NAME_EMAIL,NAME_EMAIL,MEMBER2|LARGEFAMILY|member2@largefamily.com,0.92,2026-03-06T23:18:17.316244,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
a8d50eee-f623-44eb-ba6b-ff5c318b67fe,SP_SmartPlus_quote_member_QM025,SP_Smile_policy_member_PM023,PII,RULE_EXACT_HKID,HKID,O083456(7),1.0,2026-03-06T23:18:17.366513,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
6f379e20-896d-4ee7-a0ef-ef7bc7b999fd,SP_SmartPlus_quote_member_QM025,SP_Smile_policy_member_PM023,PII,RULE_EXACT_EMAIL,EMAIL,member8@largefamily.com,0.95,2026-03-06T23:18:17.366522,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
e0709873-ef6d-4c23-b08c-06727ad939d9,SP_SmartPlus_quote_member_QM025,SP_Smile_policy_member_PM023,PII,RULE_EXACT_PHONE,PHONE,+85290000000,0.9,2026-03-06T23:18:17.366529,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
638542a3-9c5e-4e81-8cc4-ad22f09a0336,SP_SmartPlus_quote_member_QM025,SP_Smile_policy_member_PM023,PII,RULE_EXACT_NAME_DOB,NAME_DOB,MEMBER8|LARGEFAMILY|1945-01-01,0.95,2026-03-06T23:18:17.366536,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
44d4cfd3-581c-4ff7-8f03-7727c29fadc4,SP_SmartPlus_quote_member_QM025,SP_Smile_policy_member_PM023,PII,RULE_EXACT_NAME_EMAIL,NAME_EMAIL,MEMBER8|LARGEFAMILY|member8@largefamily.com,0.92,2026-03-06T23:18:17.366542,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
3c6d9760-0205-4948-9d4f-046645a7ff14,SP_Smile_policy_member_PM022,SP_SmartPlus_quote_member_QM024,PII,RULE_EXACT_HKID,HKID,O073456(7),1.0,2026-03-06T23:18:17.392300,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
c13abd41-78fe-493b-8e0a-acaee2b83bbf,SP_Smile_policy_member_PM022,SP_SmartPlus_quote_member_QM024,PII,RULE_EXACT_EMAIL,EMAIL,member7@largefamily.com,0.95,2026-03-06T23:18:17.392318,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
3b99c1b6-7741-48cc-8599-b0073a4b1b61,SP_Smile_policy_member_PM022,SP_SmartPlus_quote_member_QM024,PII,RULE_EXACT_PHONE,PHONE,+85290000000,0.9,2026-03-06T23:18:17.392325,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
a880f57f-4ee6-4d74-89e4-21a51380a3d5,SP_Smile_policy_member_PM022,SP_SmartPlus_quote_member_QM024,PII,RULE_EXACT_NAME_DOB,NAME_DOB,MEMBER7|LARGEFAMILY|1950-01-01,0.95,2026-03-06T23:18:17.392332,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
4a6126e0-e383-4519-988b-cc20c62e98b1,SP_Smile_policy_member_PM022,SP_SmartPlus_quote_member_QM024,PII,RULE_EXACT_NAME_EMAIL,NAME_EMAIL,MEMBER7|LARGEFAMILY|member7@largefamily.com,0.92,2026-03-06T23:18:17.392339,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
aae71dc2-2d82-48a3-ba6d-d58804750646,SP_SmartPlus_quote_member_QM018,SP_Smile_policy_member_PM016,PII,RULE_EXACT_HKID,HKID,O013456(7),1.0,2026-03-06T23:18:17.426269,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
fdeb019c-8b7c-46d4-8297-7d07017e1f91,SP_SmartPlus_quote_member_QM018,SP_Smile_policy_member_PM016,PII,RULE_EXACT_EMAIL,EMAIL,member1@largefamily.com,0.95,2026-03-06T23:18:17.426280,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
0aff8836-e5ac-4d22-a73b-49975a21b0e0,SP_SmartPlus_quote_member_QM018,SP_Smile_policy_member_PM016,PII,RULE_EXACT_PHONE,PHONE,+85290000000,0.9,2026-03-06T23:18:17.426288,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
d1c3fa6d-4219-4fe3-866a-4315fa19bd46,SP_SmartPlus_quote_member_QM018,SP_Smile_policy_member_PM016,PII,RULE_EXACT_NAME_DOB,NAME_DOB,MEMBER1|LARGEFAMILY|1980-01-01,0.95,2026-03-06T23:18:17.426295,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
bfee6e67-07d4-4ee8-8963-a75d234260cd,SP_SmartPlus_quote_member_QM018,SP_Smile_policy_member_PM016,PII,RULE_EXACT_NAME_EMAIL,NAME_EMAIL,MEMBER1|LARGEFAMILY|member1@largefamily.com,0.92,2026-03-06T23:18:17.426301,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
43e189e6-2f8a-4366-bda8-c67b614219ea,SP_SmartPlus_quote_member_QM027,SP_Smile_policy_member_PM025,PII,RULE_EXACT_HKID,HKID,O103456(7),1.0,2026-03-06T23:18:17.495342,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
eae3df49-6d67-4ec8-944c-60d338f0402a,SP_SmartPlus_quote_member_QM027,SP_Smile_policy_member_PM025,PII,RULE_EXACT_EMAIL,EMAIL,member10@largefamily.com,0.95,2026-03-06T23:18:17.495351,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
af0b939d-34c8-4944-8563-ee39db146b71,SP_SmartPlus_quote_member_QM027,SP_Smile_policy_member_PM025,PII,RULE_EXACT_PHONE,PHONE,+85290000000,0.9,2026-03-06T23:18:17.495358,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
7cc4c732-eeb0-439f-8700-7651a7e3c925,SP_SmartPlus_quote_member_QM027,SP_Smile_policy_member_PM025,PII,RULE_EXACT_NAME_DOB,NAME_DOB,MEMBER10|LARGEFAMILY|1935-01-01,0.95,2026-03-06T23:18:17.495365,CLUSTER:30bfc7fc-4b9f-495c-8dfa-06651f8686d1
